Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Slovenia,SVN,1006873,1009459,1085605,1092516,1098614,1104335,1109788,1115536,1121491,1131123,1144894,1157547
Urban population,SP.URB.TOTL,Solomon Islands,SLB,42654,65255,111055,116607,122453,128547,134861,141374,148106,155047,162164,169453
Urban population,SP.URB.TOTL,Somalia,SOM,2142817,2949757,5074285,5284302,5502043,5729046,5966601,6215578,6476276,6749349,7034861,7333290
Urban population,SP.URB.TOTL,South Africa,ZAF,19149880,25582582,32630279,33428280,34248628,35078456,35905875,36726640,37540921,38348227,39149715,39946775
Urban population,SP.URB.TOTL,South Sudan,SSD,729200,1023148,1772671,1842403,1906879,1965952,2020116,2068145,2110798,2152927,2201250,2261021
Urban population,SP.URB.TOTL,Spain,ESP,29286916,30937864,36773882,36904876,36891840,36890017,36971015,37112875,37311863,37588424,37973121,38264801
Urban population,SP.URB.TOTL,Sri Lanka,LKA,3211331,3451324,3714770,3716533,3746058,3785336,3828283,3882481,3942265,4003749,4052088,4101702
Urban population,SP.URB.TOTL,St. Kitts and Nevis,KNA,13934,14450,15417,15494,15584,15682,15785,15897,16013,16138,16272,16406
Urban population,SP.URB.TOTL,St. Lucia,LCA,40507,43532,32387,32593,32769,32955,33166,33410,33679,33973,34281,34598
Urban population,SP.URB.TOTL,St. Martin (French part),MAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban population,SP.URB.TOTL,St. Vincent and the Grenadines,VCT,44510,48705,53460,53951,54479,55041,55620,56236,56872,57527,58187,58837
Urban population,SP.URB.TOTL,Sudan,SDN,5764226,8863017,11738567,12069178,12421901,12794293,13185765,13596343,14027565,14480887,14957232,15458183
Urban population,SP.URB.TOTL,Suriname,SUR,266220,312914,354694,358349,361981,365656,369343,373049,376765,380497,384252,388053
Urban population,SP.URB.TOTL,Sweden,SWE,7112392,7454878,8059895,8150488,8250182,8362604,8481489,8618398,8764881,8896291,9015406,9108648
Urban population,SP.URB.TOTL,Switzerland,CHE,4964515,5272018,5825978,5889928,5959745,6034707,6105617,6174416,6234162,6283319,6332759,6383962
Urban population,SP.URB.TOTL,Syrian Arab Republic,SYR,6090034,8524943,11506454,10946032,10284372,9636016,9388889,9227932,9146183,9177784,9358017,9708489
Urban population,SP.URB.TOTL,Tajikistan,TJK,1672749,1647389,2041456,2090376,2143015,2199791,2260774,2326257,2396074,2469424,2545478,2623424
Urban population,SP.URB.TOTL,Tanzania,TZA,4759495,7473331,13153060,13877351,14639967,15439812,16277266,17152408,18066884,19020429,20011884,21042571
Urban population,SP.URB.TOTL,Thailand,THA,16641684,19758315,30179365,30828056,31477998,32127201,32772703,33415222,34051230,34678818,35294600,35898129
Urban population,SP.URB.TOTL,Timor-Leste,TLS,153775,214574,312563,322090,331905,342118,352787,363958,375614,387721,400182,412936
Urban population,SP.URB.TOTL,Togo,TGO,1079037,1620474,2508568,2611032,2716584,2825148,2936588,3051143,3168847,3289910,3414635,3543299
Urban population,SP.URB.TOTL,Tonga,TON,21584,22543,24277,24076,23795,23567,23457,23487,23633,23871,24146,24415
Urban population,SP.URB.TOTL,Trinidad and Tobago,TTO,660920,708405,719346,721775,724640,727665,730647,733552,736389,739173,741942,744725
Urban population,SP.URB.TOTL,Tunisia,TUN,4776204,6158199,7190394,7291132,7392693,7497749,7608627,7725792,7848141,7973629,8099062,8221976
Urban population,SP.URB.TOTL,Turkey,TUR,31923298,40942335,52439952,53729344,55069491,56436828,57806286,59179592,60548564,61872814,63097812,64186247
Urban population,SP.URB.TOTL,Turkmenistan,TKM,1660553,2073490,2526243,2590493,2658556,2728844,2800283,2872408,2945219,3018656,3092741,3167338
Urban population,SP.URB.TOTL,Turks and Caicos Islands,TCA,9007,17055,30257,31032,31775,32489,33171,33822,34450,35067,35658,36242
Urban population,SP.URB.TOTL,Tuvalu,TUV,3623,4322,5930,6104,6272,6451,6629,6812,6993,7178,7368,7549
Urban population,SP.URB.TOTL,Uganda,UGA,1922173,3496913,6661208,7058269,7480857,7937455,8432534,8970229,9549002,10158400,10784514,11414209
Urban population,SP.URB.TOTL,Ukraine,UKR,34641142,33019561,31395053,31360012,31330995,31223300,31183829,31122532,31043768,30946609,30836427,30721277
Urban population,SP.URB.TOTL,United Arab Emirates,ARE,1445398,2514650,7553138,7747413,7824292,7866608,7935894,8047162,8182525,8332904,8479742,8609395
Urban population,SP.URB.TOTL,United Kingdom,GBR,44733264,46319551,51600211,52130345,52650595,53209683,53802927,54382825,54923317,55426598,55909924,56395647
Urban population,SP.URB.TOTL,United States,USA,187966119,223069137,252208133,254614421,256953576,259430732,261950744,264473000,266788716,268844029,270737596,272364755
Urban population,SP.URB.TOTL,Uruguay,URY,2766703,3055085,3187408,3201207,3214643,3228547,3242948,3257863,3273061,3288346,3303391,3317930
Urban population,SP.URB.TOTL,Uzbekistan,UZB,8483962,11370244,15007103,15199882,15408910,15640290,15884192,16130961,16372437,16635580,16935578,17258430
Urban population,SP.URB.TOTL,Vanuatu,VUT,27432,40087,59599,61530,63546,65605,67676,69754,71840,73971,76152,78400
Urban population,SP.URB.TOTL,"Venezuela, RB",VEN,16547195,21182666,25452527,25873642,26246929,26481078,26518334,26318354,25927989,25480748,25162368,25102966
Urban population,SP.URB.TOTL,Vietnam,VNM,13772502,19477364,27621226,28513908,29430158,30371041,31333195,32315314,33311724,34319153,35332141,36346227
Urban population,SP.URB.TOTL,Virgin Islands (U.S.),VIR,91160,100587,102617,102691,102715,102718,102703,102656,102564,102422,102223,101974
Urban population,SP.URB.TOTL,West Bank and Gaza,PSE,1339452,2103044,2888204,2969835,3051946,3134764,3218283,3302741,3380930,3479999,3581448,3685020
Urban population,SP.URB.TOTL,"Yemen, Rep.",YEM,2451017,4572841,7705087,8065869,8439119,8822595,9215168,9615916,10024986,10442487,10869523,11306428
Urban population,SP.URB.TOTL,Zambia,ZMB,3167081,3624956,5588385,5837266,6099735,6372742,6654568,6944320,7243007,7551639,7871715,8204576
Urban population,SP.URB.TOTL,Zimbabwe,ZWE,3024147,4010951,4257061,4306228,4359432,4416224,4473872,4531238,4589452,4650597,4717307,4792105
Urban population,SP.URB.TOTL,Africa Eastern and Southern,AFE,75915921,114136170,173901249,181061819,188513993,196270604,204322110,212669776,221319466,230276235,239539517,249112475
Urban population,SP.URB.TOTL,Africa Western and Central,AFW,63490907,94468306,152273428,158838089,165607296,172602709,179836016,187305752,195016097,202961117,211133789,219531155
Urban population,SP.URB.TOTL,Arab World,ARB,112206715,149612191,206243657,212084938,217948565,223788436,229821029,235741356,241572841,247404481,253306244,259344908
Urban population,SP.URB.TOTL,Caribbean small states,CSS,2932354,3272897,3543229,3572957,3603784,3635507,3667763,3700577,3733889,3767722,3802091,3836980
Urban population,SP.URB.TOTL,Central Europe and the Baltics,CEB,67987254,66669587,64654506,64524893,64402919,64285250,64165146,64046460,63954111,63915976,63935741,63968382
Urban population,SP.URB.TOTL,Early-demographic dividend,EAR,708897418,947945201,1250743601,1280321223,1310270387,1340608331,1371521458,1402685624,1434129497,1466014129,1498425040,1531409233
Urban population,SP.URB.TOTL,East Asia & Pacific,EAS,618727706,848148000,1175208431,1204635829,1234156243,1263762181,1293210148,1322708144,1352403771,1380787292,1407811694,1432986198
Urban population,SP.URB.TOTL,East Asia & Pacific (excluding high income),EAP,451101776,664171005,963971536,992522163,1021260078,1050025167,1078616333,1107311607,1136333470,1164022906,1190440960,1215389970
Urban population,SP.URB.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,439235537,650520936,949004754,977433658,1006048595,1034690609,1063159933,1091730560,1120625098,1148184613,1174470595,1199286267
Urban population,SP.URB.TOTL,Euro area,EMU,221681292,234371051,253272107,254552163,256110530,257664867,259162923,260648893,261954003,263300319,264348445,265655307
Urban population,SP.URB.TOTL,Europe & Central Asia,ECS,567671068,590882531,630254951,634368772,638937915,643586548,648297897,652989492,657383765,661623321,665476579,669275971
Urban population,SP.URB.TOTL,Europe & Central Asia (excluding high income),ECA,241187054,249124933,262368267,264457002,266722011,269015557,271385984,273729521,275982417,278086139,280118386,281881905
Urban population,SP.URB.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,266975755,275123952,287871239,289912584,292118035,294346019,296643967,298933618,301144434,303220918,305238750,306997990
Urban population,SP.URB.TOTL,European Union,EUU,291681148,304075051,322486012,323794326,325389418,326995182,328554220,330129009,331549958,333026382,334222735,335656323
Urban population,SP.URB.TOTL,Fragile and conflict affected situations,FCS,140188093,199097144,293072488,303395882,314018410,324831489,336059484,347311455,358661286,370355328,382674667,395821391
Urban population,SP.URB.TOTL,Heavily indebted poor countries (HIPC),HPC,89970108,135492774,211290529,220121424,229294870,238840219,248770232,259093102,269819313,280949951,292473355,304383118
Urban population,SP.URB.TOTL,High income,HIC,744336759,824514889,929636145,937127730,944633747,952302212,959912988,967555415,974615279,981386603,987633802,993239319
