Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Morocco,MAR,0.875946152,1.156156811,1.762865194,1.809463467,1.771281366,1.78870378,1.821795354,1.795806751,1.852941845,1.850726784,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mozambique,MOZ,0.086238147,0.080736566,0.132299742,0.123478276,0.13536378,0.170051257,0.208564448,0.208049391,0.210129447,0.225115201,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Myanmar,MMR,0.101366419,0.20548078,0.168266268,0.229316297,0.262089763,0.325932174,0.360853051,0.412666941,0.588207515,0.605492803,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Namibia,NAM,0.0,1.081031081,1.539390309,1.612920128,1.710315531,1.759459072,1.844571323,1.848990095,1.802197016,1.735898378,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Nauru,NRU,13.67557332,8.708272859,3.972589135,3.946329913,4.898119122,4.859558752,4.819741662,5.728470498,6.618133686,6.555534744,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Nepal,NPL,0.049721033,0.13449675,0.192299016,0.222311476,0.226252791,0.264996832,0.239126119,0.342583453,0.399165018,0.428179218,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Netherlands,NLD,9.92207476,10.19119447,9.517120693,9.401394047,9.349914356,8.887632902,9.333572532,9.293428178,9.100887639,8.772823734,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,New Caledonia,NCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,New Zealand,NZL,6.700102108,7.647043575,6.92290146,7.261631996,7.147520317,7.038636112,6.983555343,6.614199953,6.838956291,6.572664572,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Nicaragua,NIC,0.462448798,0.743690956,0.808058905,0.783949266,0.740623199,0.774899255,0.846826586,0.853430457,0.845752981,0.805815233,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Niger,NER,0.074751526,0.059126893,0.082384981,0.106208362,0.096734341,0.102909629,0.09849181,0.094762615,0.09582274,0.102037038,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Nigeria,NGA,0.71261686,0.622077226,0.627068885,0.602049397,0.644598562,0.658711745,0.597060396,0.583027843,0.591596789,0.667110199,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,North Macedonia,MKD,4.303137233,4.352653786,4.682932896,4.429793833,3.992186168,3.763051574,3.613132093,3.565759063,3.788861134,3.549725294,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Northern Mariana Islands,MNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Norway,NOR,6.884400773,7.588566115,8.108073186,7.793051929,7.522211786,7.451483601,7.447085509,7.249949804,6.992651841,7.031361189,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Oman,OMN,6.561238038,9.938389919,16.11146005,16.76657525,16.20004223,16.00842261,16.00528292,15.52503484,14.98094912,15.19212436,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Pakistan,PAK,0.567126621,0.691074356,0.772553017,0.767566767,0.758649973,0.786820566,0.820300353,0.886749485,0.950909547,0.981820105,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Palau,PLW,0,10.99246231,12.3957629,11.90813723,12.49786968,12.4822695,12.45400509,14.67434248,15.16087372,16.19116744,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Panama,PAN,1.088651877,1.742382768,2.695280346,2.774068559,2.766300773,2.891335759,2.696239628,2.6677744,2.495882403,2.42765632,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Papua New Guinea,PNG,0.470119976,0.482249953,0.68922175,0.642117425,0.671512513,0.738668331,0.793066209,0.922414875,0.912534407,0.866804457,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Paraguay,PRY,0.49012493,0.661256139,0.824126249,0.806663853,0.814097965,0.853091829,0.952345926,1.054902434,1.164982151,1.210453778,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Peru,PER,0.934692369,1.074454277,1.66004233,1.639283704,1.663196859,1.755046431,1.766284697,1.827909662,1.717004408,1.69681923,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Philippines,PHL,0.659825325,0.938432506,0.883854313,0.90584929,0.989162121,1.038769688,1.113176292,1.205049261,1.298718327,1.33369096,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Poland,POL,9.189525421,7.729236717,8.159838143,7.969647505,7.842493766,7.517152269,7.609299873,7.894108855,8.237562431,8.235472255,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Portugal,PRT,4.113903954,5.99228486,4.723629323,4.585897803,4.452394238,4.415895223,4.812669843,4.72231143,5.177519101,4.840612761,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Puerto Rico,PRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Qatar,QAT,26.32932654,36.67714826,32.30572603,33.37313156,31.92701809,32.69353229,32.47056953,32.128042,32.17937063,32.41563917,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Romania,ROU,7.440359782,3.960259985,4.16676428,4.074676308,3.603438063,3.586823815,3.678916669,3.610752001,3.782790244,3.845132759,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Russian Federation,RUS,14.63052427,10.16051714,11.62401683,11.63994391,11.31666091,11.17274176,10.80890931,10.60603144,10.77664459,11.12661837,0.0,0.0
